100,0,-10
200,10,-10
300,10,-10
400,10,-10
500,10,-10
600,10,-10
601,10,-10
700,10,-10
800,10,-10
900,10,-10
967,10,-10
1000,10,-10
1100,10,-10
1200,10,-10
1300,10,-10
1327,10,-10
1400,10,-10
1500,10,-10
1501,10,-10
1600,10,-10
1601,10,-10
1700,10,-10
1800,10,-10
1900,10,-10
2000,10,-10
2100,10,-10
2200,10,-10
2300,10,-10
2400,10,-10
2500,10,-10
2600,10,-10
2700,10,-10
2800,10,-10
2900,10,-10
3000,10,-10
3100,10,-10
3200,10,-10
3300,10,-10
3400,10,-10
3500,10,-10
3600,10,-10
3607,10,-10
3700,10,-10
3800,10,-10
3900,10,-10
4000,10,-10
4100,10,-10
4200,10,-10
4300,10,-10
4400,10,-10
4500,10,-10
4600,10,-10
4700,10,-10
4800,10,-10
4900,10,-10
5000,10,-10
5037,10,-10
5100,10,-10
5200,10,-10
5300,10,-10
5400,10,-10
5500,10,-10
5600,10,-10
5700,10,-10
5800,10,-10
5900,10,-10
6000,10,-10
6100,10,-10
6200,10,-10
6300,10,-10
6400,10,-10
6435,10,-10
6500,10,-10
6600,10,-10
6700,10,-10
6800,10,-10
6900,10,-10
7000,10,-10
7100,10,-10
7200,10,-10
7300,10,-10
7400,10,-10
7500,10,-10
7600,10,-10
7700,10,-10
7800,10,-10
7900,10,-10
8000,10,-10
8100,10,-10
8200,10,-10
8300,10,-10
8301,10,-10
8302,10,-10
8400,10,-10
8500,10,-10
8600,10,-10
100,10,-10
200,10,-10
271,10,-10
300,10,-10
400,10,-10
500,10,-10
600,10,-10
700,10,-10
800,10,-10
100,10,-10
200,10,-10
300,10,-10
400,10,-10
500,10,-10
600,10,-10
700,10,-10
800,10,-10
900,10,-10
1000,10,-10
1100,10,-10
1200,10,-10
1300,10,-10
1400,10,-10
1500,10,-10
1597,10,-10
1600,10,-10
1700,10,-10
1800,10,-10
1900,10,-10
2000,10,-10
2100,10,-10
2124,10,-10
2200,10,-10
2300,10,-10
2400,10,-10
2500,10,-10
2600,10,-10
2700,10,-10
2703,10,-10
2800,10,-10
2900,10,-10
3000,10,-10
3100,10,-10
3200,10,-10
3300,10,-10
3347,10,-10
3400,10,-10
3500,10,-10
3501,10,-10
3600,10,-10
3618,10,-10
3621,10,-10
3700,10,-10
3800,10,-10
3900,10,-10
4000,10,-10
4100,10,-10
4200,10,-10
4300,10,-10
4400,10,-10
4500,10,-10
4600,10,-10
4700,10,-10
4800,10,-10
4900,10,-10
5000,10,-10
5100,10,-10
5200,10,-10
5300,10,-10
5400,10,-10
5500,10,-10
5600,10,-10
5700,10,-10
5800,10,-10
5828,10,-10
5900,10,-10
6000,10,-10
6100,10,-10
6200,10,-10
6300,10,-10
6400,10,-10
6460,10,-10
6500,10,-10
6600,10,-10
6700,10,-10
6800,10,-10
6900,10,-10
7000,10,-10
7100,10,-10
7200,10,-10
7300,10,-10
7400,10,-10
7500,10,-10
7600,10,-10
7700,10,-10
7800,10,-10
7900,10,-10
8000,10,-10
8046,10,-10
8100,10,-10
8200,10,-10
8204,10,-10
8300,10,-10
8400,10,-10
8500,10,-10
8600,10,-10
8700,10,-10
8800,10,-10
8900,10,-10
9000,10,-10
9100,10,-10
9200,10,-10
9300,10,-10
