100,69.5,-65.0,-1382.5
200,75.5,-65.0,-1132.5
300,75.5,-65.0,-1012.5
400,75.5,-65.0,-72.5
500,75.5,-65.0,601.5
600,75.5,-65.0,-1302.5
700,75.5,-65.0,267.5
800,75.5,-65.0,347.5
900,75.5,-65.0,-32.5
1000,75.5,-65.0,-782.5
1100,75.5,-65.0,-217.5
1200,75.5,-65.0,563.5
1300,75.5,-65.0,76.5
1400,78.0,-65.0,-1012.5
1500,78.0,-65.0,-1072.5
1600,78.0,-65.0,257.5
1700,78.0,-65.0,-773.5
1800,78.0,-65.0,-318.5
1801,78.0,-65.0,116.5
1900,78.0,-65.0,-1052.5
2000,78.0,-65.0,-114.5
2008,106.0,-65.0,1177.0
2100,106.0,-65.0,-1092.5
2200,106.0,-65.0,-1132.5
2300,106.0,-65.0,167.5
2400,106.0,-65.0,-1294.5
2500,106.0,-65.0,-829.5
2600,106.0,-65.0,-982.5
2695,106.0,-65.0,-109.5
2700,106.0,-65.0,-354.5
2800,106.0,-65.0,-992.5
2900,106.0,-65.0,-1012.5
3000,106.0,-65.0,-1318.5
3100,106.0,-65.0,-1052.5
3200,106.0,-65.0,-1052.5
3300,106.0,-65.0,-1012.5
3350,106.0,-65.0,-169.5
3400,106.0,-65.0,476.5
3401,149.5,-65.0,448.5
3500,149.5,-65.0,557.5
3501,149.5,-65.0,448.5
3600,149.5,-65.0,-679.5
3700,149.5,-65.0,-1079.5
3701,149.5,-65.0,448.5
3800,149.5,-65.0,-1084.5
3900,149.5,-65.0,-1223.5
4000,149.5,-65.0,267.5
4100,149.5,-65.0,119.5
4200,149.5,-65.0,517.5
4300,149.5,-65.0,-357.5
4400,149.5,-65.0,452.5
4500,149.5,-65.0,407.5
4600,149.5,-65.0,472.5
4700,149.5,-65.0,-992.5
4800,149.5,-65.0,515.5
4900,149.5,-65.0,372.5
5000,149.5,-65.0,492.5
5100,149.5,-65.0,517.5
5200,149.5,-65.0,557.5
5237,149.5,-65.0,709.0
5300,149.5,-65.0,517.5
5400,149.5,-65.0,581.5
5500,149.5,-65.0,-1052.5
5600,149.5,-65.0,-891.5
5700,149.5,-65.0,-690.5
5800,149.5,-65.0,417.5
5856,149.5,-65.0,583.5
5900,149.5,-65.0,557.5
5921,149.5,-65.0,98.5
6000,149.5,-65.0,-838.5
6005,149.5,-65.0,667.5
6100,149.5,-65.0,-27.5
6101,149.5,-65.0,448.5
6200,149.5,-65.0,-1010.5
6300,149.5,-65.0,517.5
6400,149.5,-65.0,-1382.5
6500,149.5,-65.0,517.5
6600,149.5,-65.0,-1092.5
6700,149.5,-65.0,565.5
6800,149.5,-65.0,613.5
6900,149.5,-65.0,605.5
7000,149.5,-65.0,27.5
7100,149.5,-65.0,565.5
7200,149.5,-65.0,372.5
7300,149.5,-65.0,451.5
7400,149.5,-65.0,-489.5
7500,149.5,-65.0,-1012.5
7600,149.5,-65.0,-1052.5
